Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations
2014-04-24 08:15:00,WEST TEXAS GULF PIPELINE CO,TRINITY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,ONALASKA,POLK,TX,30.83709,-95.17331,CORROSION,INTERNAL,12.0,,9.0,3.0,NO,NO,YES,2014-04-24 08:25:00,2014-04-24 18:00:00,0.0
2014-04-24 10:00:00,SUNOCO PIPELINE L.P.,"SLICK JCT. TO BEGGS 6""",ONSHORE,UNDERGROUND,CRUDE OIL,,,BEGGS,OKMULGEE,OK,35.7391,-96.15759,CORROSION,INTERNAL,3.0,,2.9,0.1,NO,NO,YES,2014-04-24 10:05:00,,0.0
2014-04-25 08:00:00,COLONIAL PIPELINE CO,BENGAL/BATON ROUGE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,JACKSON,EAST FELICIANA,LA,30.71133,-91.28204,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,4.7,,4.7,0.0,NO,NO,YES,2014-04-25 08:00:00,2014-04-27 23:11:00,
2014-04-25 08:40:00,"BUCKEYE PARTNERS, LP",HAMMOND TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,HAMMOND,LAKE,IN,41.6076,-87.4667,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.95,,0.95,0.0,NO,NO,NO,,,0.0
2014-04-25 10:00:00,WEST TEXAS GULF PIPELINE CO,RANGER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,ZEPHYR,BROWN,TX,32.4982,-98.6362,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.5,,0.0,0.5,NO,NO,NO,,,0.0
2014-04-25 10:45:00,"DELEK LOGISTICS OPERATING, LLC.",COLQUITT GATHERING,ONSHORE,UNDERGROUND,CRUDE OIL,,,HAYNESVILLE,CLAIBORNE,LA,32.97035,-92.93675,CORROSION,INTERNAL,400.0,,223.0,177.0,NO,NO,YES,2014-04-25 10:45:00,,
2014-04-25 14:45:00,WYOMING PIPELINE COMPANY,WYOMING PIPELINE COMPANY,ONSHORE,UNDERGROUND,CRUDE OIL,,,,NIOBRARA,WY,43.3831,-104.2457,CORROSION,EXTERNAL,1.0,,0.0,1.0,NO,NO,NO,,,0.0
2014-04-25 20:30:00,PHILLIPS 66 PIPELINE LLC,PASADENA TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PASADENA,HARRIS,TX,29.717371,-95.179389,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.36,,0.36,0.0,NO,NO,NO,,,
2014-04-26 06:15:00,ENTERPRISE CRUDE PIPELINE LLC,TEXAS CITY TANK FARM,ONSHORE,TANK,CRUDE OIL,,,TEXAS CITY,GALVESTON,TX,29.34525,-94.935183,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.2,,0.2,0.0,NO,NO,NO,,,0.0
2014-04-26 08:43:00,"PLAINS PIPELINE, L.P.",ORION TO CALUMET,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,,OK,35.86561,-98.41103,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,65.0,,65.0,0.0,NO,NO,YES,2014-04-26 08:43:00,2014-04-26 22:00:00,0.0
2014-04-26 12:00:00,LACLEDE GAS CO,LACLEDE PIPELINE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,MIXTURE OF LIQUID PROPANE AND BUTANE,GRANITE CITY,MADISON,IL,38.680985,-90.183432,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0.05,10.0,0.0,0.05,NO,NO,YES,2014-04-26 12:00:00,2014-05-06 16:00:00,0.0
2014-04-27 13:45:00,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",CHEYENNE PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,CHEYENNE,LARAMIE,WY,41.1274,-104.7907,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,5.0,,4.0,1.0,NO,NO,,,,0.0
2014-04-29 06:55:00,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",CHEYENNE PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,CHEYENNE,LARAMIE,WY,41.1274,-104.7907,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,5.0,,1.0,4.0,NO,NO,,,,0.0
2014-04-29 08:30:00,MOBIL CHEMICAL CO,NECHES TERMINAL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,BEAUMONT,JEFFERSON,TX,30.0751806,-94.064083,CORROSION,EXTERNAL,4.5,0.0,0.0,4.5,NO,NO,NO,,,0.0
2014-04-30 03:32:00,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PASADENA,HARRIS,TX,40.52243,-74.25384,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.54,,0.54,0.0,NO,NO,YES,2014-04-30 03:32:00,2014-04-30 10:00:00,
2014-04-30 06:00:00,MARATHON PIPE LINE LLC,ST. JAMES CAPLINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,ST. JAMES,ST. JAMES,LA,30.0250818,-90.8409226,INCORRECT OPERATION,INCORRECT INSTALLATION,0.9,,0.9,0.0,NO,NO,YES,2014-04-30 06:05:00,2014-04-30 09:31:00,0.0
2014-04-30 12:45:00,"PETROLOGISTICS OLEFINS, LLC",4 INCH PG PROPYLENE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,DEER PARK,HARRIS,TX,29.4313,-95.65,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",7.0,0.0,0.0,7.0,NO,NO,YES,2014-04-30 13:10:00,2014-05-02 17:30:00,0.0
2014-05-01 06:40:00,"MAGELLAN PIPELINE COMPANY, LP",OKLAHOMA CITY RENO TERM.,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,RENO,OKLAHOMA,OK,35.46577,-97.44754,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.71,,0.71,0.0,NO,NO,YES,2014-05-01 07:30:00,2014-05-01 09:15:00,0.0
2014-05-01 08:25:00,ENTERPRISE CRUDE PIPELINE LLC,MIDLAND TANK FARM,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MIDLAND,MIDLAND,TX,32.02363,-102.01169,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,400.0,,400.0,0.0,NO,NO,NO,,,0.0
2014-05-01 13:00:00,"ONEOK NGL PIPELINE, LLC",ONEOK HELENA BOOSTER,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,HELENA,ALFALFA,OK,36.58261,-98.30137,INCORRECT OPERATION,INCORRECT INSTALLATION,176.0,0.0,0.0,176.0,NO,NO,YES,2014-05-01 13:00:00,2014-05-01 14:25:00,0.0
2014-05-01 13:00:00,ENTERPRISE CRUDE PIPELINE LLC,MIDLAND TANK FARM,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MIDLAND,MIDLAND,TX,32.019351,-102.01641,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,4.0,,4.0,0.0,NO,NO,NO,,,0.0
2014-05-02 07:20:00,KINDER MORGAN CO2 CO. LP,MCCAMEY STATION,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),,,MCCAMEY,UPTON,TX,31.1158,-102.2931,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2066.0,0.0,0.0,2066.0,NO,NO,YES,2014-05-02 07:20:00,2014-05-02 09:30:00,0.0
2014-05-02 08:30:00,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PASADENA,HARRIS,TX,40.52243,-74.25384,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.01,,0.0,0.01,NO,NO,NO,,,
2014-05-02 16:00:00,ENTERPRISE CRUDE PIPELINE LLC,MIDLAND TANK FARM ,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MIDLAND,MIDLAND,TX,32.02363,-102.012028,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.2,,0.2,0.0,NO,NO,NO,,,0.0
2014-05-04 09:45:00,"PLAINS PIPELINE, L.P.",GOLDSMITH STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,GOLDSMITH,ECTOR,TX,32.960694,-102.617915,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.5,,1.5,0.0,NO,NO,YES,2014-05-04 09:47:00,2014-05-05 10:55:00,0.0
2014-05-06 11:18:00,KINDER MORGAN WINK PIPELINE LP,"WINK TO SNYDER 10""",ONSHORE,UNDERGROUND,CRUDE OIL,,,SNYDER,SCURRY,TX,32.794161,-101.019901,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,3.0,,0.0,3.0,NO,NO,YES,2014-05-06 11:18:00,2014-05-06 18:30:00,0.0
2014-05-06 15:29:00,SINCLAIR TRANSPORTATION COMPANY,MID-CONTINENT PIPELINE,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,RUTLEDGE,KNOX,MO,40.29832,-92.11387,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,270.0,,270.0,0.0,NO,NO,YES,2014-05-06 15:29:00,2014-05-12 12:51:00,0.0
2014-05-06 16:12:00,JAYHAWK PIPELINE LLC,HILL CITY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,NEAR HILL CITY,GRAHAM,KS,39.369394,-99.80891,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.9,,2.1,0.8,NO,NO,YES,2014-05-06 16:31:00,2014-05-08 23:09:00,
